Date,Length,Name,Text
2014-11-01,1,Federica Mogherini,Phone-call with US Secretary of State John Kerry
2014-11-02,1,Federica Mogherini,"Phone-call with Minister of Foreign Affairs of Germany, Frank Walter Steinmeier"
2014-11-03,1,Federica Mogherini,"Phone-call with Minister of Foreign Affairs of the United Kingdom, Philip Hammond"
2014-11-03,1,Federica Mogherini,Speech to the staff of the European External Action Service
2014-11-04,1,Federica Mogherini,Bilateral meeting with President of Colombia Jose’ Manuel Santos
2014-11-04,1,Tibor Navracsics,Joint Research Centre meeting on future innovation
2014-11-04,1,Tibor Navracsics,JRC Meeting on future innovations
2014-11-04,1,Federica Mogherini,Lunch organised by the President of the European Council on the occasion of the visit  of President of Colombia Jose’ Manuel Santos
2014-11-04,1,Federica Mogherini,"Meeting with the Chief Executive of the European Defense Afency, Claude-France  Arnauld"
2014-11-04,1,Federica Mogherini,"Meeting with the Secretary General of NATO, Jens Stoltenberg, to be followed by a  joint press point"
2014-11-05,1,Federica Mogherini,First formal meeting of Relex Commissioners
2014-11-05,1,Federica Mogherini,First meeting of the College
2014-11-05,1,Jean-Claude Juncker,Meeting of the college
2014-11-06,1,Federica Mogherini,"Address of the Inter-parliamentary Committee, Rome, Italy"
2014-11-06,1,Dimitris Avramopoulos,G6 Ministerial Meeting in Paris
2014-11-06,1,Cecilia Malmström,Meeting: Airbus Group
2014-11-06,1,Cecilia Malmström,Meeting: Business Europe
2014-11-06,1,Cecilia Malmström,"Meeting: Helen Zille, Premier of the Western Cape"
2014-11-06,1,Federica Mogherini,"Visit to Warsaw, Poland"
2014-11-07,1,Maroš Šefčovič,Maroš Šefčovič meets with the Association of Journalists within the sector of Energy and Environment (FEM).
2014-11-07,1,Dimitris Avramopoulos,Meeting with the Minister of Public Order and Citizen Protection in Athens
2014-11-07,1,Cecilia Malmström,Meeting: European Consumers' Organisation (BEUC)
2014-11-07,1,Federica Mogherini,"Visit to Tel Aviv, Jerusalem, Gaza and Ramallah"
2014-11-10,1,Dimitris Avramopoulos,"Conference ""Fundamental Rights and Migration to the EU in Rome"""
2014-11-10,1,Cecilia Malmström,"In Berlin, DE: Meeting Deutschen Gewerkschaftsbundes (DGB)"
2014-11-10,1,Cecilia Malmström,"In Berlin, DE: Meeting Sigmar Gabriel, Federal Minister for Economic Affairs and Energy"
2014-11-10,1,Maroš Šefčovič,"Maroš Šefčovič meets Urban Rusnák, Secretary General of the Energy Charter in Brussels."
2014-11-10,1,Maroš Šefčovič,"Meeting with Jeremy Rifkin, an economist and social theorist, writer and political advisor"
2014-11-10,1,Federica Mogherini,"Ms Federica Mogherini visits Berlin, Germany"
2014-11-11,1,Cecilia Malmström,Lunch with representatives from Swedish companies
2014-11-11,1,Maroš Šefčovič,Maroš Šefčovič receives Slovak EU law teachers and students in Brussels.
2014-11-11,1,Johannes Hahn,Mr Johannes Hahn participates in the EU-Turkey Joint Parliamentary Committee in the European Parliament. Mr Johannes Hahn receives the Turkish Minister for EU Affairs and Chief Negotiator Mr Volkan Bozkir.
2014-11-11,1,Maroš Šefčovič,Skype chat with students from Slovakia
2014-11-12,1,Federica Mogherini,Addresses the AFET Committee in the EP ahead of the next Foreign Affairs Council
2014-11-12,1,Cecilia Malmström,Commission College meeting
2014-11-12,1,Dimitris Avramopoulos,EU-US Ministerial Meeting on Justice and Home Affairs in Washington
2014-11-12,1,Cecilia Malmström,"Meeting: Bernd Lange (MEP), Chair of the INTA Committee"
2014-11-12,1,Cecilia Malmström,"Meeting: Olaf Scholz, Mayor of Hamburg"
2014-11-12,1,Federica Mogherini,"Ms Federica Mogherini  meets the OSCE Secretary General Lamberto Zannier, Brussels"
2014-11-12,1,Federica Mogherini,"Ms Federica Mogherini participates in the ceremony for the Belgian presidency of Council of Europe, Brussels"
2014-11-12,1,Federica Mogherini,"Ms Federica Mogherini participates in the EXPO welcome ceremony, European Parliament, Brussels"
2014-11-12,1,Federica Mogherini,"Ms Federica Mogherini speaks at the meeting of the EU Chiefs of Defence, Brussels"
2014-11-12,1,Federica Mogherini,Participates in the meeting of the College
2014-11-12,1,Johannes Hahn,"Receives the Minister for Interior of Montenegro Mr Rasko Konjevic. Meets Secretary General Council of Europe Mr Jagland. Meets foreign Minister of the former Yugoslav Republic of Macedonia, Mr Nikola Poposki."
2014-11-13,1,Carlos Moedas,"Commissioner Moedas meets with Mr Dainius Pavalkis, Lithuanian Minister for Education and Science, Mr Eugenijus Butkus, Deputy Rector for Science of Vilnius University, and Mr Valdemaras Razumas, President of the Academy of Science of Lithuania"
2014-11-13,1,Carlos Moedas,"Commissioner Moedas meets with Mr Evaldas Gustas, Lithuanian Minister for Economy, in Vilnius, Lithuania"
2014-11-13,1,Carlos Moedas,"Commissioner Moedas meets with Ms Loreta Graužinienė, Speaker of the Seimas of the Republic of Lithuania in Vilnius, Lithuania"
2014-11-13,1,Maroš Šefčovič,"Discussion with students on the occassion of 25th Anniversary of Velvet revolution in the Slovak Parliament, Bratislava."
2014-11-13,1,Maroš Šefčovič,Keynote speech on new Commission priorities and Energy Union at the High Tatra Summit in Slovakia.
